67.54,71.12,17.85,23.28
67.68,70.93,17.99,23.09
67.82,70.74,18.13,22.90
67.90,70.61,18.21,22.77
67.99,70.48,18.30,22.65
68.12,70.29,18.43,22.45
68.21,70.16,18.52,22.32
68.34,69.97,18.65,22.13
68.43,69.84,18.74,22.00
68.56,69.64,18.87,21.80
68.69,69.45,19.00,21.61
68.77,69.32,19.08,21.48
68.90,69.12,19.21,21.28
68.99,68.99,19.30,21.15
69.08,68.86,19.39,21.02
69.21,68.67,19.52,20.83
69.30,68.54,19.61,20.70
69.44,68.34,19.75,20.50
69.53,68.21,19.84,20.37
69.66,68.02,19.97,20.18
69.75,67.89,20.06,20.05
69.89,67.69,20.20,19.86
69.98,67.56,20.29,19.73
70.12,67.37,20.43,19.53
70.21,67.24,20.52,19.40
70.35,67.05,20.66,19.21
70.44,66.92,20.75,19.08
70.58,66.72,20.89,18.88
70.71,66.53,21.02,18.69
70.81,66.40,21.12,18.56
70.90,66.26,21.21,18.43
71.04,66.07,21.35,18.23
71.13,65.94,21.44,18.10
71.27,65.74,21.58,17.90
71.36,65.61,21.67,17.77
71.50,65.41,21.81,17.58
71.59,65.28,21.90,17.44
71.73,65.09,22.04,17.25
71.82,64.95,22.13,17.11
71.96,64.76,22.27,16.92
72.09,64.56,22.40,16.72
72.19,64.42,22.50,16.59
72.32,64.23,22.63,16.39
72.42,64.09,22.73,16.25
72.51,63.96,22.82,16.12
72.65,63.76,22.96,15.92
72.74,63.63,23.05,15.79
72.87,63.42,23.18,15.59
72.97,63.29,23.28,15.45
73.10,63.09,23.41,15.25
73.19,62.95,23.50,15.11
73.33,62.75,23.64,14.91
73.42,62.62,23.73,14.78
73.56,62.41,23.87,14.57
73.65,62.28,23.96,14.44
73.78,62.07,24.09,14.24
73.87,61.94,24.18,14.10
74.01,61.74,24.32,13.90
74.15,61.53,24.46,13.69
74.24,61.40,24.55,13.56
74.33,61.26,24.64,13.42
74.47,61.06,24.78,13.22
74.56,60.92,24.87,13.08
74.70,60.72,25.01,12.88
74.84,60.52,25.15,12.68
74.94,60.38,25.25,12.54
75.03,60.25,25.34,12.41
75.17,60.04,25.48,12.20
75.27,59.91,25.58,12.07
75.41,59.70,25.72,11.86
75.50,59.57,25.81,11.73
75.64,59.36,25.95,11.52
75.78,59.16,26.09,11.32
75.88,59.02,26.19,11.18
75.97,58.89,26.28,11.05
76.11,58.68,26.42,10.84
76.25,58.47,26.56,10.64
76.34,58.33,26.65,10.50
76.43,58.20,26.74,10.36
76.56,57.98,26.87,10.14
76.64,57.84,26.95,10.00
76.77,57.63,27.08,9.79
76.85,57.48,27.16,9.64
76.96,57.26,27.27,9.42
77.04,57.11,27.35,9.27
77.15,56.89,27.46,9.05
77.22,56.74,27.53,8.90
77.31,56.51,27.62,8.67
77.38,56.35,27.69,8.52
77.47,56.12,27.78,8.28
77.55,55.89,27.86,8.05
77.60,55.73,27.91,7.89
77.65,55.57,27.96,7.73
77.72,55.33,28.03,7.49
77.76,55.17,28.07,7.33
77.82,54.93,28.13,7.09
77.85,54.77,28.16,6.93
77.90,54.52,28.21,6.68
77.92,54.36,28.23,6.52
77.96,54.11,28.27,6.27
77.98,53.95,28.29,6.11
78.00,53.70,28.31,5.86
78.01,53.54,28.32,5.70
78.03,53.29,28.34,5.45
78.03,53.12,28.34,5.28
78.04,52.87,28.35,5.03
78.04,52.71,28.35,4.87
78.03,52.46,28.34,4.62
78.02,52.21,28.33,4.37
78.00,52.04,28.31,4.20
77.99,51.88,28.30,4.04
77.97,51.63,28.28,3.79
77.95,51.46,28.26,3.62
77.91,51.22,28.22,3.38
77.89,51.05,28.20,3.21
77.85,50.81,28.16,2.97
77.82,50.64,28.13,2.80
77.77,50.40,28.08,2.56
77.73,50.23,28.04,2.39
77.68,49.99,27.99,2.15
77.62,49.75,27.93,1.91
77.58,49.58,27.89,1.74
77.52,49.34,27.83,1.50
77.47,49.18,27.78,1.34
77.41,48.93,27.72,1.10
77.37,48.77,27.68,0.93
77.31,48.53,27.62,0.69
77.27,48.37,27.58,0.53
77.21,48.12,27.52,0.28
77.17,47.96,27.48,0.12
77.11,47.71,27.42,-0.13
77.06,47.55,27.37,-0.29
77.00,47.31,27.31,-0.53
76.95,47.14,27.26,-0.69
76.89,46.90,27.20,-0.94
76.84,46.74,27.15,-1.10
76.78,46.49,27.09,-1.35
76.73,46.33,27.04,-1.51
76.66,46.09,26.97,-1.75
76.61,45.93,26.92,-1.91
76.54,45.68,26.85,-2.16
76.48,45.52,26.79,-2.32
76.40,45.28,26.71,-2.56
76.34,45.12,26.65,-2.72
76.26,44.89,26.57,-2.95
76.19,44.73,26.50,-3.11
76.10,44.49,26.41,-3.35
76.03,44.34,26.34,-3.50
75.93,44.10,26.24,-3.73
75.86,43.95,26.17,-3.89
75.75,43.72,26.06,-4.12
75.68,43.57,25.99,-4.27
75.57,43.34,25.88,-4.50
75.49,43.19,25.80,-4.65
75.37,42.97,25.68,-4.87
75.29,42.82,25.60,-5.02
75.16,42.59,25.47,-5.24
75.08,42.45,25.39,-5.39
74.95,42.23,25.26,-5.61
74.86,42.08,25.17,-5.76
74.74,41.86,25.05,-5.98
74.65,41.71,24.96,-6.13
74.53,41.49,24.84,-6.35
74.44,41.34,24.75,-6.50
74.32,41.11,24.63,-6.72
74.23,40.97,24.54,-6.87
74.11,40.74,24.42,-7.10
74.03,40.59,24.34,-7.25
73.91,40.37,24.22,-7.47
73.83,40.21,24.14,-7.63
73.71,39.99,24.02,-7.85
73.63,39.83,23.94,-8.01
73.52,39.60,23.83,-8.24
73.45,39.45,23.76,-8.39
73.34,39.21,23.65,-8.63
73.27,39.06,23.58,-8.78
73.17,38.82,23.48,-9.02
73.11,38.66,23.42,-9.18
73.01,38.42,23.32,-9.42
72.95,38.26,23.26,-9.58
72.86,38.02,23.17,-9.82
72.80,37.86,23.11,-9.98
72.72,37.62,23.03,-10.22
72.67,37.45,22.98,-10.39
72.59,37.21,22.90,-10.63
72.54,37.04,22.85,-10.80
72.47,36.79,22.78,-11.04
72.43,36.63,22.74,-11.21
72.37,36.38,22.68,-11.46
72.33,36.21,22.64,-11.63
72.27,35.96,22.58,-11.88
72.24,35.79,22.55,-12.05
72.19,35.54,22.50,-12.30
72.16,35.37,22.47,-12.47
72.12,35.11,22.43,-12.73
72.09,34.94,22.40,-12.90
72.06,34.69,22.37,-13.15
72.04,34.52,22.35,-13.32
72.01,34.26,22.32,-13.58
71.99,34.09,22.30,-13.75
71.97,33.83,22.28,-14.01
71.96,33.66,22.27,-14.18
71.94,33.40,22.25,-14.44
71.93,33.23,22.24,-14.61
71.93,32.97,22.24,-14.87
71.92,32.80,22.23,-15.04
71.92,32.54,22.23,-15.30
71.93,32.37,22.24,-15.47
71.93,32.11,22.24,-15.73
71.94,31.93,22.25,-15.90
71.95,31.68,22.26,-16.16
71.96,31.50,22.27,-16.33
71.98,31.25,22.29,-16.59
72.00,31.07,22.31,-16.77
72.02,30.82,22.33,-17.02
72.04,30.64,22.35,-17.19
72.08,30.39,22.39,-17.45
72.10,30.22,22.41,-17.62
72.14,29.96,22.45,-17.88
72.17,29.79,22.48,-18.05
72.22,29.53,22.53,-18.30
72.26,29.36,22.57,-18.47
72.31,29.11,22.62,-18.73
72.35,28.94,22.66,-18.90
72.41,28.69,22.72,-19.15
72.45,28.52,22.76,-19.32
72.50,28.35,22.81,-19.48
72.56,28.10,22.87,-19.74
72.61,27.94,22.92,-19.90
72.68,27.69,22.99,-20.15
72.76,27.44,23.07,-20.40
72.81,27.27,23.12,-20.57
72.89,27.02,23.20,-20.82
72.94,26.86,23.25,-20.98
73.03,26.61,23.34,-21.23
73.08,26.45,23.39,-21.39
73.17,26.20,23.48,-21.64
73.23,26.04,23.54,-21.80
73.32,25.79,23.63,-22.05
73.39,25.63,23.70,-22.21
73.48,25.39,23.79,-22.45
73.55,25.23,23.86,-22.61
73.65,24.98,23.96,-22.85
73.72,24.82,24.03,-23.01
73.79,24.66,24.10,-23.17
73.89,24.43,24.20,-23.41
74.00,24.19,24.31,-23.65
74.08,24.03,24.39,-23.81
74.20,23.80,24.51,-24.04
74.28,23.64,24.59,-24.20
74.36,23.49,24.67,-24.35
74.48,23.26,24.79,-24.58
74.61,23.03,24.92,-24.81
74.69,22.88,25.00,-24.96
74.78,22.73,25.09,-25.11
74.92,22.50,25.23,-25.34
75.05,22.28,25.36,-25.56
75.15,22.13,25.46,-25.71
75.24,21.98,25.55,-25.86
75.39,21.76,25.70,-26.07
75.54,21.55,25.85,-26.29
75.64,21.40,25.95,-26.43
75.74,21.26,26.05,-26.58
75.89,21.05,26.20,-26.79
76.00,20.91,26.31,-26.93
76.16,20.70,26.47,-27.14
76.32,20.49,26.63,-27.34
76.43,20.36,26.74,-27.48
76.59,20.15,26.90,-27.69
76.70,20.02,27.01,-27.82
76.87,19.81,27.18,-28.03
76.98,19.68,27.29,-28.16
77.10,19.55,27.41,-28.29
77.27,19.35,27.58,-28.49
77.38,19.21,27.69,-28.63
77.56,19.02,27.87,-28.82
77.67,18.88,27.98,-28.95
77.85,18.69,28.16,-29.15
77.97,18.56,28.28,-29.28
78.15,18.37,28.46,-29.47
78.27,18.24,28.58,-29.60
78.45,18.05,28.76,-29.79
78.58,17.92,28.89,-29.92
78.76,17.74,29.07,-30.10
78.89,17.61,29.20,-30.23
79.08,17.43,29.39,-30.41
79.20,17.30,29.51,-30.54
79.39,17.12,29.70,-30.72
79.52,17.00,29.83,-30.84
79.72,16.82,30.03,-31.02
79.91,16.64,30.22,-31.20
80.04,16.52,30.35,-31.32
80.17,16.41,30.48,-31.43
80.37,16.23,30.68,-31.61
80.51,16.11,30.82,-31.73
80.71,15.94,31.02,-31.90
80.91,15.77,31.22,-32.07
81.04,15.65,31.35,-32.19
81.25,15.48,31.56,-32.36
